l, 3435.9513, 0.321875, 0.633333333333333
r, 3435.9513, 0.5546875, 0.622916666666667
l, 3486.9716, 0.321875, 0.633333333333333
r, 3486.9716, 0.55625, 0.622916666666667
l, 3543.9837, 0.3203125, 0.63125
r, 3543.9837, 0.56875, 0.622916666666667
l, 3599.6535, 0.321875, 0.633333333333333
r, 3599.6535, 0.5546875, 0.622916666666667
l, 3654.4779, 0.3203125, 0.633333333333333
r, 3654.4779, 0.5515625, 0.625
l, 3705.4827, 0.3203125, 0.635416666666667
r, 3705.4827, 0.5640625, 0.627083333333333
l, 3759.5082, 0.3203125, 0.6375
r, 3759.5082, 0.55625, 0.627083333333333
l, 3814.5138, 0.3203125, 0.6375
r, 3814.5138, 0.5546875, 0.629166666666667
l, 3869.5261, 0.31875, 0.639583333333333
r, 3869.5261, 0.5609375, 0.629166666666667
l, 3924.5384, 0.31875, 0.639583333333333
r, 3924.5384, 0.5546875, 0.629166666666667
l, 3984.5521, 0.31875, 0.639583333333333
r, 3984.5521, 0.553125, 0.629166666666667
l, 4041.0733, 0.31875, 0.639583333333333
r, 4041.0733, 0.553125, 0.63125
l, 4097.3311, 0.3171875, 0.639583333333333
r, 4097.3311, 0.5515625, 0.63125
l, 4154.5268, 0.3171875, 0.641666666666667
r, 4154.5268, 0.5578125, 0.63125
l, 4211.1935, 0.3171875, 0.641666666666667
r, 4211.1935, 0.5515625, 0.633333333333333
l, 4272.4369, 0.315625, 0.641666666666667
r, 4272.4369, 0.5515625, 0.633333333333333
l, 4326.3136, 0.315625, 0.641666666666667
r, 4326.3136, 0.55625, 0.633333333333333
l, 4382.3628, 0.3171875, 0.641666666666667
r, 4382.3628, 0.5578125, 0.633333333333333
l, 4438.1796, 0.3171875, 0.641666666666667
r, 4438.1796, 0.5515625, 0.633333333333333
l, 4494.7469, 0.3171875, 0.64375
r, 4494.7469, 0.5515625, 0.633333333333333
l, 4548.1053, 0.3171875, 0.64375
r, 4548.1053, 0.5515625, 0.635416666666667
l, 4616.634, 0.31875, 0.64375
r, 4616.634, 0.5515625, 0.635416666666667
l, 4671.656, 0.31875, 0.64375
r, 4671.656, 0.5515625, 0.635416666666667
l, 4732.4392, 0.3171875, 0.64375
r, 4732.4392, 0.5515625, 0.635416666666667
l, 4788.1967, 0.3171875, 0.64375
r, 4788.1967, 0.55, 0.635416666666667
