[90]:
096, 3
113, 3
103, 3
078, 3
092, 3
085, 3
087, 3
102, 3
093, 3

[30]:
044, 2
054, 2
067, 2
032, 1
053, 1
042, 1
052, 1
070, 1
061, 1
065, 1
036, 1
056, 1
045, 1
058, 1
076, 1
048, 1
069, 1
059, 1
034, 1
055, 1
073, 1
064, 1
046, 1
057, 1

[120]:
128, 2
115, 2
092, 2
109, 2
141, 1
134, 1
107, 1
111, 1
118, 1
123, 1
105, 1
097, 1
081, 1
073, 1
076, 1
082, 1
086, 1
122, 1
096, 1
087, 1
091, 1
098, 1
103, 1


[090]092, 1
[030]044, 1
[120]115, 1

7
======
[90]:
099, 6
071, 3
086, 3
080, 3
100, 3
091, 3
097, 3
095, 3

[30]:
083, 2
137, 1
115, 1
125, 1
100, 1
085, 1
092, 1
117, 1
098, 1
107, 1
095, 1
073, 1
082, 1
071, 1
056, 1
063, 1
064, 1
072, 1
111, 1
089, 1
099, 1
068, 1
075, 1
096, 1
078, 1
086, 1

[120]:
128, 3
137, 3
084, 2
077, 2
126, 1
062, 1
106, 1
152, 1
068, 1
140, 1
067, 1
118, 1
148, 1
167, 1
144, 1
159, 1
086, 1
073, 1
117, 1
160, 1
150, 1


[090]099, 1
[030]083, 1
[120]128, 1

23.3333333333333
21.1211
